Run	Country	Species	Isolation_source	BioSample
SRR5239763	Taiwan	Candida glabrata	Mouth	SAMN06233959
SRR5239765	France	Candida glabrata	Blood	SAMN06233957
SRR5239767	France	Candida glabrata	Blood	SAMN06233955
SRR5239770	Italy	Candida glabrata	Blood	SAMN06233931
SRR5239772	USA	Candida glabrata	Blood	SAMN06233918
SRR5239774	USA	Candida glabrata	Blood	SAMN06115384
SRR5239775	USA	Candida glabrata	Blood	SAMN06115381
SRR5239778	USA	Candida glabrata	Blood	SAMN06115073
SRR5239779	USA	Candida glabrata	Blood	SAMN06115072
SRR5239782	Belgium	Candida glabrata	Mouth	SAMN06114929
SRR8068013	Australia: Sydney	Candida glabrata	blood	SAMN10245836
SRR8068015	Australia: Sydney	Candida glabrata	blood	SAMN10245828
SRR8068016	Australia: Sydney	Candida glabrata	blood	SAMN10245831
SRR8068019	Australia: Sydney	Candida glabrata	blood	SAMN10245832
SRR8068021	Australia: Sydney	Candida glabrata	blood	SAMN10245834
SRR8068022	Australia: Canberra	Candida glabrata	blood	SAMN10245811
SRR8068023	Australia: Perth	Candida glabrata	blood	SAMN10245810
SRR8068024	Australia: Melbourne	Candida glabrata	blood	SAMN10245809
SRR8068025	Australia: Perth	Candida glabrata	blood	SAMN10245808
SRR8068026	Australia: Melbourne	Candida glabrata	blood	SAMN10245815
SRR8068028	Australia: Sydney	Candida glabrata	blood	SAMN10245813
SRR8068029	Australia: Brisbane	Candida glabrata	blood	SAMN10245812
SRR8068030	Australia: Melbourne	Candida glabrata	blood	SAMN10245817
SRR8068032	Australia: Sydney	Candida glabrata	Tissue	SAMN10245848
SRR8068033	Australia: Melbourne	Candida glabrata	blood	SAMN10245807
SRR8068034	Australia: Melbourne	Candida glabrata	blood	SAMN10245806
SRR8068035	Australia: Sydney	Candida glabrata	blood	SAMN10245799
SRR8068037	Australia: Sydney	Candida glabrata	blood	SAMN10245801
SRR8068038	Australia: Sydney	Candida glabrata	blood	SAMN10245800
SRR8068040	Australia: Sydney	Candida glabrata	blood	SAMN10245802
SRR8068042	Australia: Melbourne	Candida glabrata	blood	SAMN10245804
SRR8068043	Australia: Sydney	Candida glabrata	blood	SAMN10245826
SRR8068047	Australia: Sydney	Candida glabrata	blood	SAMN10245818
SRR8068049	Australia: Sydney	Candida glabrata	blood	SAMN10245824
SRR8068053	Australia: Sydney	Candida glabrata	blood	SAMN10245846
SRR8068054	Australia: Melbourne	Candida glabrata	blood	SAMN10245847
SRR8068057	Australia: Sydney	Candida glabrata	blood	SAMN10245840
SRR8068058	Australia: Sydney	Candida glabrata	blood	SAMN10245841
SRR8068059	Australia: Sydney	Candida glabrata	blood	SAMN10245842
SRR8068060	Australia: Sydney	Candida glabrata	blood	SAMN10245843
SRR8068061	Australia: Sydney	Candida glabrata	blood	SAMN10245844
SRR8068062	Australia: Sydney	Candida glabrata	blood	SAMN10245845
